cluster_id,label,max_channel_name,max_channel_index,n_spikes,mean_rate_hz,peak_to_peak_uv,polarity,spike_width_ms,half_width_ms,n_channels_extent,n_waveforms,trace_start_s
44,good,18,60,19246,2.2749667135702722,37.036067962646484,positive,0.16666666666666666,0.12801711252839412,1,56,5230.75
48,good,16,41,12023,1.4211745192380434,63.335994720458984,negative,0.5,0.12512592922695256,7,75,2248.0
49,good,17,8,7247,0.8566291059567579,33.25045394897461,positive,0.13333333333333333,0.10219310881937188,2,33,46.5
56,good,22,10,72322,8.548796771216315,45.784706115722656,positive,0.16666666666666666,0.12353737793084624,1,300,3727.5
57,good,24,25,45197,5.342495612243353,31.406471252441406,negative,0.5666666666666667,0.15208431614298548,5,204,1058.0
59,good,24,25,11121,1.314553924016159,44.81879425048828,positive,0.1,0.10078680501336106,1,50,4428.25
61,good,26,36,5199,0.6145459806636103,55.203277587890625,positive,0.13333333333333333,0.09246125177787826,2,32,2857.25
66,good,28,58,52283,6.180093769385563,30.825889587402344,positive,0.16666666666666666,0.119522287248746,1,270,4847.25
68,good,33,3,3572,0.42222701345074365,10.432499885559082,positive,0.03333333333333333,0.11046512046701408,6,20,3585.25
84,good,31,20,17287,2.0434038022180867,58.69701385498047,positive,0.13333333333333333,0.11149942405909676,2,97,4468.5
87,good,13,0,727,0.0859347812930265,5.139642715454102,positive,0.7666666666666667,0.09782604054091616,13,14,213.75
90,good,57,13,13252,1.5664480353441361,58.14350891113281,positive,0.13333333333333333,0.11214372668336914,4,64,5667.5
91,good,33,3,13921,1.6455269468778841,12.543312072753906,negative,0.1,0.17342095104911454,2,77,719.25
96,good,40,16,134704,15.922639311273509,61.37104797363281,negative,0.4666666666666667,0.15059365444868208,5,300,1211.0
97,good,39,23,60172,7.112610261298473,31.16507911682129,negative,0.6333333333333333,0.16368656500641557,3,296,14.75
98,good,41,47,49553,5.857395072095381,27.31249237060547,negative,0.5,0.15899594906154835,3,234,4.25
102,good,41,47,12273,1.4507256819935546,44.88362121582031,positive,0.13333333333333333,0.11219126364133582,4,58,3835.25
105,good,63,1,4871,0.5757748551283797,16.927257537841797,positive,nan,0.08825598770553687,1,31,2209.25
107,good,45,27,30535,3.6093790189581347,48.32234191894531,negative,0.26666666666666666,0.10483116327943129,6,145,2248.25
108,good,46,14,12860,1.5201118121434947,38.78391647338867,positive,0.16666666666666666,0.1185321230827947,3,37,6087.75
109,good,45,27,74411,8.795726287201367,43.77425003051758,negative,0.3666666666666667,0.15149817284689546,5,300,2247.75
110,good,45,27,5186,0.6130093202003237,49.80160140991211,positive,0.13333333333333333,0.11173233230768703,2,28,57.0
111,good,44,17,94053,11.117502042576369,41.27629470825195,negative,0.5666666666666667,0.14890462005646576,4,300,1211.0
116,good,49,46,7818,0.9241239616903454,49.97483825683594,positive,0.13333333333333333,0.10110969700964408,3,32,1473.25
122,good,52,44,17207,2.033947430136323,41.41019821166992,negative,0.7666666666666667,0.18153849464246116,4,100,3396.5
125,good,53,15,46037,5.441787519101871,38.76157760620117,positive,0.13333333333333333,0.09292440369935313,3,256,1365.75
126,good,49,46,141980,16.782696352109905,18.733007431030273,positive,0.6666666666666666,0.1149513029131868,3,300,6650.25
127,good,51,24,6602,0.780387106047539,32.81934356689453,negative,0.16666666666666666,0.11252545437447765,2,23,896.5
129,good,54,30,205592,24.301930612924213,48.311885833740234,negative,0.3333333333333333,0.13883023016627227,4,300,2631.25
131,good,54,30,76840,9.082845384533913,40.89410400390625,positive,0.13333333333333333,0.10973222735523389,3,300,6916.25
132,good,54,30,213053,25.18385551419969,84.06645202636719,positive,0.13333333333333333,0.09655103135435272,7,300,6525.0
135,good,56,12,10028,1.185356240449064,47.461971282958984,positive,0.13333333333333333,0.11421842117404696,1,38,6472.0
136,good,56,12,40100,4.740006505983992,39.61948776245117,negative,0.3,0.13506933218730066,4,147,2489.25
142,good,58,52,147108,17.38884980255095,48.56149673461914,negative,0.26666666666666666,0.13534882324589126,4,300,475.75
144,good,57,13,61317,7.2479545867187145,50.852745056152344,positive,0.1,0.09864920775082595,3,300,296.0
145,good,57,13,13635,1.6117204166855794,65.71818542480469,positive,0.1,0.08998729243748625,1,61,145.0
146,good,58,52,213671,25.25690598853131,40.16933822631836,negative,0.26666666666666666,0.13603009253104123,5,300,2248.0
147,good,33,3,4816,0.5692735993221673,16.738544464111328,negative,0.3333333333333333,0.43741738508168526,2,31,7644.75
148,good,59,45,127972,15.126885600593102,62.35970687866211,positive,0.13333333333333333,0.09417236467601402,4,300,7350.0
151,good,64,22,230064,27.19463483273569,61.33465576171875,negative,0.3333333333333333,0.15174281255061817,2,300,3297.75
152,good,64,22,109854,12.985253733375696,60.50202178955078,positive,0.1,0.11182096619656298,2,300,463.5
159,good,25,7,8782,1.0380732452755965,87.92686462402344,positive,0.13333333333333333,0.11320090458398321,5,43,489.75
